Region,seafood restaurant,seafood recipe,seafood delivery,sushi take out,bbq restaurant,category,date_range,year,country
Louisiana,79%,11%,3%,<1%,7%,food & drink,(1/1/19 - 5/15/19),2019,usa
South Carolina,75%,8%,2%,<1%,15%,food & drink,(1/1/19 - 5/15/19),2019,usa
Florida,74%,9%,2%,<1%,15%,food & drink,(1/1/19 - 5/15/19),2019,usa
Hawaii,67%,9%,1%,3%,20%,food & drink,(1/1/19 - 5/15/19),2019,usa
Maryland,71%,13%,4%,<1%,12%,food & drink,(1/1/19 - 5/15/19),2019,usa
Mississippi,71%,13%,4%,,12%,food & drink,(1/1/19 - 5/15/19),2019,usa
North Carolina,68%,11%,2%,<1%,19%,food & drink,(1/1/19 - 5/15/19),2019,usa
Georgia,66%,13%,2%,<1%,19%,food & drink,(1/1/19 - 5/15/19),2019,usa
Alabama,68%,12%,2%,,18%,food & drink,(1/1/19 - 5/15/19),2019,usa
Virginia,66%,14%,3%,1%,16%,food & drink,(1/1/19 - 5/15/19),2019,usa
District of Columbia,67%,12%,5%,,16%,food & drink,(1/1/19 - 5/15/19),2019,usa
Delaware,66%,14%,8%,,12%,food & drink,(1/1/19 - 5/15/19),2019,usa
Connecticut,67%,15%,2%,1%,15%,food & drink,(1/1/19 - 5/15/19),2019,usa
Texas,60%,13%,3%,<1%,24%,food & drink,(1/1/19 - 5/15/19),2019,usa
Massachusetts,65%,13%,5%,2%,15%,food & drink,(1/1/19 - 5/15/19),2019,usa
New Jersey,61%,11%,3%,2%,23%,food & drink,(1/1/19 - 5/15/19),2019,usa
New York,60%,13%,3%,1%,23%,food & drink,(1/1/19 - 5/15/19),2019,usa
Rhode Island,58%,18%,8%,,16%,food & drink,(1/1/19 - 5/15/19),2019,usa
California,59%,13%,2%,1%,25%,food & drink,(1/1/19 - 5/15/19),2019,usa
New Hampshire,60%,19%,4%,,17%,food & drink,(1/1/19 - 5/15/19),2019,usa
Maine,58%,23%,4%,,15%,food & drink,(1/1/19 - 5/15/19),2019,usa
Tennessee,52%,12%,4%,<1%,32%,food & drink,(1/1/19 - 5/15/19),2019,usa
Washington,57%,18%,2%,1%,22%,food & drink,(1/1/19 - 5/15/19),2019,usa
Illinois,57%,13%,3%,1%,26%,food & drink,(1/1/19 - 5/15/19),2019,usa
Pennsylvania,57%,20%,5%,1%,17%,food & drink,(1/1/19 - 5/15/19),2019,usa
Nevada,46%,16%,5%,3%,30%,food & drink,(1/1/19 - 5/15/19),2019,usa
Oregon,59%,19%,3%,2%,17%,food & drink,(1/1/19 - 5/15/19),2019,usa
Vermont,54%,23%,,,23%,food & drink,(1/1/19 - 5/15/19),2019,usa
Indiana,54%,21%,3%,1%,21%,food & drink,(1/1/19 - 5/15/19),2019,usa
Missouri,47%,14%,3%,1%,35%,food & drink,(1/1/19 - 5/15/19),2019,usa
Arizona,50%,13%,2%,3%,32%,food & drink,(1/1/19 - 5/15/19),2019,usa
Ohio,51%,17%,3%,1%,28%,food & drink,(1/1/19 - 5/15/19),2019,usa
Alaska,57%,43%,,,,food & drink,(1/1/19 - 5/15/19),2019,usa
Oklahoma,49%,15%,2%,,34%,food & drink,(1/1/19 - 5/15/19),2019,usa
Michigan,50%,19%,2%,1%,28%,food & drink,(1/1/19 - 5/15/19),2019,usa
West Virginia,63%,18%,,,19%,food & drink,(1/1/19 - 5/15/19),2019,usa
Kentucky,47%,16%,3%,,34%,food & drink,(1/1/19 - 5/15/19),2019,usa
Arkansas,50%,16%,3%,,31%,food & drink,(1/1/19 - 5/15/19),2019,usa
Colorado,42%,23%,1%,3%,31%,food & drink,(1/1/19 - 5/15/19),2019,usa
Kansas,45%,14%,3%,,38%,food & drink,(1/1/19 - 5/15/19),2019,usa
Wisconsin,44%,21%,4%,2%,29%,food & drink,(1/1/19 - 5/15/19),2019,usa
Minnesota,44%,18%,3%,6%,29%,food & drink,(1/1/19 - 5/15/19),2019,usa
New Mexico,45%,18%,5%,,32%,food & drink,(1/1/19 - 5/15/19),2019,usa
Utah,44%,10%,5%,8%,33%,food & drink,(1/1/19 - 5/15/19),2019,usa
Iowa,34%,22%,8%,3%,33%,food & drink,(1/1/19 - 5/15/19),2019,usa
North Dakota,60%,40%,,,,food & drink,(1/1/19 - 5/15/19),2019,usa
Idaho,33%,27%,,,40%,food & drink,(1/1/19 - 5/15/19),2019,usa
Nebraska,36%,26%,,4%,34%,food & drink,(1/1/19 - 5/15/19),2019,usa
Montana,29%,28%,,,43%,food & drink,(1/1/19 - 5/15/19),2019,usa
South Dakota,100%,,,,,food & drink,(1/1/19 - 5/15/19),2019,usa
Wyoming,,,,,,food & drink,(1/1/19 - 5/15/19),2019,usa
