Category: Food & Drink

Day,seafood restaurant: (United States),seafood delivery: (United States),seafood recipe: (United States),sushi take out: (United States),covid: (United States)
2020-01-01,15,1,7,<1,0
2020-01-02,14,<1,4,1,0
2020-01-03,14,1,4,1,0
2020-01-04,16,<1,4,<1,0
2020-01-05,14,1,4,1,0
2020-01-06,7,1,2,0,0
2020-01-07,8,<1,2,0,0
2020-01-08,18,<1,3,<1,0
2020-01-09,12,1,2,<1,0
2020-01-10,13,<1,3,<1,0
2020-01-11,18,1,5,0,0
2020-01-12,17,<1,6,<1,0
2020-01-13,9,1,3,<1,0
2020-01-14,9,<1,3,<1,0
2020-01-15,7,<1,3,<1,0
2020-01-16,10,<1,3,<1,0
2020-01-17,11,0,3,0,0
2020-01-18,15,1,4,0,0
2020-01-19,13,1,6,<1,0
2020-01-20,12,1,4,1,0
2020-01-21,8,<1,2,<1,0
2020-01-22,8,<1,2,0,0
2020-01-23,9,<1,2,1,0
2020-01-24,14,<1,3,<1,0
2020-01-25,17,1,4,<1,0
2020-01-26,12,<1,3,<1,0
2020-01-27,8,2,2,0,0
2020-01-28,7,<1,2,0,0
2020-01-29,9,<1,2,0,0
2020-01-30,10,<1,2,1,0
2020-01-31,11,<1,3,0,0
2020-02-01,14,1,5,1,0
2020-02-02,11,<1,3,<1,0
2020-02-03,7,1,3,0,0
2020-02-04,8,<1,2,<1,0
2020-02-05,7,<1,3,0,0
2020-02-06,9,<1,3,0,0
2020-02-07,12,1,3,<1,0
2020-02-08,17,1,3,<1,0
2020-02-09,12,<1,4,1,0
2020-02-10,11,1,2,<1,0
2020-02-11,10,1,2,<1,<1
2020-02-12,9,1,3,<1,<1
2020-02-13,12,2,3,<1,<1
2020-02-14,23,1,5,<1,<1
2020-02-15,21,1,5,<1,1
2020-02-16,15,1,4,<1,0
2020-02-17,12,2,4,<1,1
2020-02-18,9,1,2,0,<1
2020-02-19,10,<1,3,<1,<1
2020-02-20,7,<1,2,0,1
2020-02-21,11,1,4,<1,1
2020-02-22,18,1,5,1,1
2020-02-23,13,1,4,1,1
2020-02-24,8,1,4,1,1
2020-02-25,10,<1,3,<1,1
2020-02-26,11,<1,4,<1,2
2020-02-27,10,1,3,0,2
2020-02-28,15,<1,3,<1,2
2020-02-29,19,1,5,1,2
2020-03-01,14,1,4,<1,3
2020-03-02,9,1,3,<1,3
2020-03-03,11,1,2,<1,4
2020-03-04,9,<1,2,0,4
2020-03-05,8,<1,2,0,4
2020-03-06,10,<1,4,<1,5
2020-03-07,21,1,3,1,7
2020-03-08,16,1,4,1,7
2020-03-09,8,2,2,<1,9
2020-03-10,9,<1,1,<1,11
2020-03-11,8,<1,3,<1,17
2020-03-12,6,0,2,1,25
2020-03-13,7,<1,2,<1,36
2020-03-14,13,1,4,<1,44
2020-03-15,9,1,4,0,58
2020-03-16,5,1,1,<1,71
2020-03-17,3,1,2,<1,70
2020-03-18,3,1,3,1,64
2020-03-19,4,1,2,<1,70
2020-03-20,4,1,3,1,79
2020-03-21,4,2,4,1,83
2020-03-22,3,1,4,1,82
2020-03-23,3,2,2,<1,77
2020-03-24,4,1,2,<1,71
2020-03-25,2,1,3,<1,78
2020-03-26,4,2,3,<1,77
2020-03-27,6,1,4,<1,88
2020-03-28,5,2,5,2,92
2020-03-29,4,1,5,1,95
2020-03-30,3,2,3,1,91
2020-03-31,3,2,3,1,85
2020-04-01,2,1,3,1,89
2020-04-02,5,1,3,1,84
2020-04-03,5,3,4,2,87
2020-04-04,7,1,4,1,99
2020-04-05,4,1,4,1,100
2020-04-06,3,2,3,1,82
2020-04-07,4,2,5,1,79
2020-04-08,4,1,3,1,76
2020-04-09,5,1,4,1,79
2020-04-10,7,2,7,1,87
2020-04-11,7,2,7,1,88
2020-04-12,4,2,5,1,75
2020-04-13,4,2,5,1,65
2020-04-14,4,2,4,<1,61
2020-04-15,3,1,4,1,61
2020-04-16,5,1,4,1,62
2020-04-17,7,2,5,1,64
2020-04-18,8,2,7,1,68
2020-04-19,7,2,8,<1,60
2020-04-20,3,2,5,1,56
2020-04-21,4,1,5,1,57
2020-04-22,4,2,4,1,56
2020-04-23,5,1,3,1,56
2020-04-24,6,1,5,1,56
2020-04-25,9,2,6,1,57
2020-04-26,6,2,9,1,59
2020-04-27,4,1,4,1,56
2020-04-28,3,1,4,<1,49
2020-04-29,3,1,4,1,50
2020-04-30,6,2,4,1,48
2020-05-01,7,1,4,1,48
2020-05-02,10,2,6,1,54
2020-05-03,11,2,8,1,53
2020-05-04,7,1,4,<1,51
2020-05-05,5,2,5,<1,51
2020-05-06,6,2,3,1,46
2020-05-07,6,1,4,1,49
2020-05-08,9,2,4,1,52
2020-05-09,13,2,11,1,55
2020-05-10,18,5,11,1,58
2020-05-11,7,1,6,1,51
2020-05-12,6,1,4,1,46
