Week,Pounds,Year,MonthWeek,Species
03/08-03/14,67355.00,2017,8-Mar,halibut
03/15-03/22,613473.00,2017,15-Mar,halibut
03/23-03/31,569525.00,2017,23-Mar,halibut
04/01-04/07,152335.00,2017,1-Apr,halibut
04/08-04/14,1031038.00,2017,8-Apr,halibut
04/15-04/22,814875.00,2017,15-Apr,halibut
04/23-04/30,480081.00,2017,23-Apr,halibut
05/01-05/07,406514.00,2017,1-May,halibut
05/08-05/14,932657.00,2017,8-May,halibut
05/15-05/22,883852.00,2017,15-May,halibut
05/23-05/31,716329.00,2017,23-May,halibut
06/01-06/07,776250.00,2017,1-Jun,halibut
06/08-06/14,548263.00,2017,8-Jun,halibut
06/15-06/22,725458.00,2017,15-Jun,halibut
06/23-06/30,324039.00,2017,23-Jun,halibut
07/01-07/07,307160.00,2017,1-Jul,halibut
07/08-07/14,214879.00,2017,8-Jul,halibut
07/15-07/22,473729.00,2017,15-Jul,halibut
07/23-07/31,603003.00,2017,23-Jul,halibut
08/01-08/07,564514.00,2017,1-Aug,halibut
08/08-08/14,566454.00,2017,8-Aug,halibut
08/15-08/22,750696.00,2017,15-Aug,halibut
08/23-08/31,840632.00,2017,23-Aug,halibut
09/01-09/07,450047.00,2017,1-Sep,halibut
09/08-09/14,696294.00,2017,8-Sep,halibut
09/15-09/22,691797.00,2017,15-Sep,halibut
09/23-09/30,537816.00,2017,23-Sep,halibut
10/01-10/07,452019.00,2017,1-Oct,halibut
10/08-10/14,376279.00,2017,8-Oct,halibut
10/15-10/22,492636.00,2017,15-Oct,halibut
10/23-10/31,345415.00,2017,23-Oct,halibut
11/01-11/07,155027.00,2017,1-Nov,halibut
11/08-11/14,71606.00,2017,8-Nov,halibut
03/23-03/31,651049.00,2018,23-Mar,halibut
04/01-04/07,300544.00,2018,1-Apr,halibut
04/08-04/14,449178.00,2018,8-Apr,halibut
04/15-04/22,788280.00,2018,15-Apr,halibut
04/23-04/30,594893.00,2018,23-Apr,halibut
